[2016-07-13 12:17:10] main.DEBUG: cache_invalidate:  {"method":"GET","url":"http://magento2.local.com/","invalidateInfo":{"tags":["interception","CONFIG"],"mode":"matchingTag"},"is_exception":false} []
[2016-07-13 12:19:40] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://magento2.local.com/zpanel/admin/index/index/key/868b87e56d1bb9fdabb149c63630838332b27b068a0111aca8998f6be2310e9b/","invalidateInfo":{"tags":["BACKEND_MAINMENU"],"mode":"matchingAnyTag"},"is_exception":false} []
[2016-07-13 12:26:08] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://magento2.local.com/zpanel/admin/system_config/save/section/web/key/3a0e871df6f5f8b8af0819ee1dac6a27ffca3768fc9c06b60e17e1328491cf89/website/2/","invalidateInfo":{"tags":["config_scopes","CONFIG"],"mode":"matchingTag"},"is_exception":false} []
[2016-07-13 12:26:25] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://magento2.local.com/zpanel/admin/system_config/save/section/web/website/2/key/3a0e871df6f5f8b8af0819ee1dac6a27ffca3768fc9c06b60e17e1328491cf89/","invalidateInfo":{"tags":["config_scopes","CONFIG"],"mode":"matchingTag"},"is_exception":false} []
[2016-07-13 12:34:01] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://magento2.local.com/zpanel/admin/index/index/key/868b87e56d1bb9fdabb149c63630838332b27b068a0111aca8998f6be2310e9b/","invalidateInfo":{"tags":["BACKEND_MAINMENU"],"mode":"matchingAnyTag"},"is_exception":false} []
[2016-07-13 12:35:45] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://magento2.local.com/zpanel/catalog/category/save/key/89a1251587bbeefeb3bb9409143f7b5d6d18217f2c22293cdab7e969a59e7d8c/","invalidateInfo":{"tags":["catalog_category"],"mode":"matchingAnyTag"},"is_exception":false} []
[2016-07-13 12:35:45] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://magento2.local.com/zpanel/catalog/category/save/key/89a1251587bbeefeb3bb9409143f7b5d6d18217f2c22293cdab7e969a59e7d8c/","invalidateInfo":{"tags":["catalog_category_42","FPC"],"mode":"matchingTag"},"is_exception":false} []
[2016-07-13 12:35:45] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://magento2.local.com/zpanel/catalog/category/save/key/89a1251587bbeefeb3bb9409143f7b5d6d18217f2c22293cdab7e969a59e7d8c/","invalidateInfo":{"tags":["catalog_category","FPC"],"mode":"matchingTag"},"is_exception":false} []
[2016-07-13 12:35:45] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://magento2.local.com/zpanel/catalog/category/save/key/89a1251587bbeefeb3bb9409143f7b5d6d18217f2c22293cdab7e969a59e7d8c/","invalidateInfo":{"tags":["catalog_category_product_42","FPC"],"mode":"matchingTag"},"is_exception":false} []
[2016-07-13 12:35:45] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://magento2.local.com/zpanel/catalog/category/save/key/89a1251587bbeefeb3bb9409143f7b5d6d18217f2c22293cdab7e969a59e7d8c/","invalidateInfo":{"tags":["catalog_category_42","catalog_category","catalog_category_product_42"],"mode":"matchingTag"},"is_exception":false} []
[2016-07-13 12:35:46] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://magento2.local.com/zpanel/catalog/category/save/key/89a1251587bbeefeb3bb9409143f7b5d6d18217f2c22293cdab7e969a59e7d8c/","invalidateInfo":{"tags":["catalog_category_42","FPC"],"mode":"matchingTag"},"is_exception":false} []
